participant_id,group,trial_number,task_type,phase,is_correct,audio_duration_s,speech_total_s,silence_total_s,speech_ratio_audio,lexical_total_s,nonlex_total_s,lexical_ratio_audio,nonlex_ratio_audio
sub_f0ad42f4c80f,1,2,value-loose-chunk,first_correct,1,175.9,89.24200000000005,86.65800000000003,0.507345082433201,87.77800000000002,1.464,0.49902217168845947,0.00832291074474133
sub_f0ad42f4c80f,1,3,value-loose-chunk,post_incorrect,0,239.62,148.96800000000002,90.65200000000002,0.6216843335280862,148.96800000000002,0.0,0.6216843335280862,0.0
sub_f0ad42f4c80f,1,4,value-loose-chunk,post_correct,1,83.5,44.91800000000001,38.582,0.5379401197604792,44.91800000000001,0.0,0.5379401197604792,0.0
sub_f0ad42f4c80f,1,5,value-loose-chunk,post_correct,1,82.3,49.814,32.486,0.605273390036452,49.814,0.0,0.605273390036452,0.0
sub_97a093227203,1,1,hybrid,pre_incorrect,0,241.293,57.01600000000001,184.277,0.23629363470966838,57.01600000000001,0.0,0.23629363470966838,0.0
sub_97a093227203,1,2,hybrid,pre_incorrect,0,241.434,95.27600000000007,146.158,0.39462544629174046,93.90800000000007,1.3679999999999999,0.38895930150683033,0.005666144784910162
sub_97a093227203,1,3,hybrid,first_correct,1,197.754,93.48800000000001,104.26599999999999,0.47274897094369783,91.64800000000001,1.84,0.4634444815275545,0.00930448941614329
sub_97a093227203,1,4,hybrid,post_correct,1,58.214,35.31999999999999,22.894000000000002,0.6067269041811247,32.547999999999995,2.7720000000000002,0.5591094925619267,0.047617411619198136
sub_97a093227203,1,5,hybrid,post_correct,1,109.013,65.71900000000001,43.294000000000004,0.6028547054021081,65.71900000000001,0.0,0.6028547054021081,0.0
sub_d1b9242fdda8,1,1,value-tight-chunk,pre_incorrect,0,245.374,91.27999999999999,154.09400000000002,0.3720035537587519,90.89999999999999,0.38,0.3704548974218947,0.0015486563368572058
sub_d1b9242fdda8,1,2,value-tight-chunk,first_correct,1,210.314,167.74399999999997,42.57000000000003,0.7975883678689958,166.81999999999996,0.924,0.7931949370940592,0.004393430774936524
sub_d1b9242fdda8,1,3,value-tight-chunk,post_correct,1,63.953,46.127,17.826000000000008,0.7212640532891342,46.127,0.0,0.7212640532891342,0.0
sub_d1b9242fdda8,1,4,value-tight-chunk,post_correct,1,42.453,31.848,10.606,0.750194332556003,31.848,0.0,0.750194332556003,0.0
sub_d1b9242fdda8,1,5,value-tight-chunk,post_correct,1,42.233,36.728,5.505999999999999,0.8696516941728033,36.728,0.0,0.8696516941728033,0.0
sub_b87bf837c6ae,1,1,operator,pre_incorrect,0,239.44,33.65599999999999,205.78399999999996,0.14056130972268624,33.65599999999999,0.0,0.14056130972268624,0.0
sub_b87bf837c6ae,1,2,operator,pre_incorrect,0,239.68,46.718,192.96199999999996,0.19491822429906544,46.718,0.0,0.19491822429906544,0.0
sub_b87bf837c6ae,1,3,operator,pre_incorrect,0,239.62,17.887999999999995,221.732,0.07465153159168682,17.887999999999995,0.0,0.07465153159168682,0.0
sub_b87bf837c6ae,1,4,operator,first_correct,1,62.26,6.884,55.376,0.1105685833601028,6.884,0.0,0.1105685833601028,0.0
sub_b87bf837c6ae,1,5,operator,post_correct,1,16.18,4.748,11.432,0.2934487021013597,4.748,0.0,0.2934487021013597,0.0
sub_c99e3feff124,1,1,operator,first_correct,1,90.7,19.455999999999992,71.24400000000001,0.21450937155457545,19.455999999999992,0.0,0.21450937155457545,0.0
sub_c99e3feff124,1,2,operator,post_correct,1,27.7,14.867999999999999,12.831999999999999,0.5367509025270758,14.867999999999999,0.0,0.5367509025270758,0.0
sub_c99e3feff124,1,3,operator,post_correct,1,115.96,34.132,81.828,0.2943428768540876,34.132,0.0,0.2943428768540876,0.0
sub_c99e3feff124,1,4,operator,post_correct,1,161.14,38.988,122.15199999999996,0.24195109842373094,38.512,0.476,0.2389971453394564,0.002953953084274544
sub_c99e3feff124,1,5,operator,post_correct,1,31.6,17.2,14.399999999999999,0.5443037974683543,12.152,5.048,0.3845569620253164,0.15974683544303797
sub_cf97da5a22d4,1,1,tautological,unlabeled,0,239.8,52.440000000000005,187.36000000000004,0.21868223519599667,51.456,0.984,0.2145788156797331,0.004103419516263552
sub_cf97da5a22d4,1,2,tautological,unlabeled,0,239.8,59.16800000000002,180.632,0.2467389491242703,57.99200000000002,1.176,0.24183486238532118,0.0049040867389491235
sub_cf97da5a22d4,1,3,tautological,unlabeled,0,239.8,37.38399999999998,202.41600000000005,0.15589658048373636,37.38399999999998,0.0,0.15589658048373636,0.0
sub_cf97da5a22d4,1,4,tautological,unlabeled,0,239.8,65.51200000000004,174.28799999999998,0.2731943286071728,65.00400000000003,0.508,0.27107589658048387,0.0021184320266889075
sub_cf97da5a22d4,1,5,tautological,unlabeled,0,239.8,41.52799999999999,198.27199999999993,0.17317764804003333,41.019999999999996,0.508,0.17105921601334442,0.0021184320266889075
sub_83928208bd4f,1,1,hybrid,pre_incorrect,0,239.8,108.86400000000005,130.93599999999998,0.4539783152627191,108.86400000000005,0.0,0.4539783152627191,0.0
sub_83928208bd4f,1,2,hybrid,first_correct,1,97.84,50.85600000000001,46.983999999999995,0.5197874080130827,50.85600000000001,0.0,0.5197874080130827,0.0
sub_83928208bd4f,1,3,hybrid,post_incorrect,0,239.8,113.66000000000003,126.13999999999994,0.473978315262719,112.60800000000002,1.052,0.46959132610508764,0.004386989157631359
